ID,LabVisit,file,start1,stop1,start2,stop2,start3,stop3,start4,stop4,start5,stop5,start6,stop6,start7,stop7,start8,stop8,start9,stop9,start10,stop10
1030,1,1030_V1R3XP_4,3:49:35 PM,3:50:43 PM,3:52:40 PM,3:54:40 PM,3:54:40 PM,3:55:49 PM,4:00:08 PM,4:01:09 PM,4:01:42 PM,4:05:07 PM,4:10:07 PM,4:12:06 PM,4:05:07 PM,4:07:11 PM,4:16:04 PM,4:17:19 PM,4:20:49 PM,4:22:49 PM,4:23:33 PM,4:25:34 PM
1031,1,1031_V1R3XP_4,5:42:10 PM,5:43:14 PM,5:45:59 PM,5:46:59 PM,5:46:59 PM,5:48:59 PM,5:51:14 PM,5:53:14 PM,5:53:37 PM,5:55:31 PM,5:55:31 PM,5:57:28 PM,5:58:38 PM,6:00:54 PM,6:03:15 PM,6:04:32 PM,6:05:34 PM,6:07:34 PM,6:08:07 PM,6:10:08 PM
1032,1,1032_V1R3XP_4,12:14:36 PM,12:17:08 PM,12:18:38 PM,12:20:38 PM,12:20:38 PM,12:22:38 PM,12:24:08 PM,12:26:08 PM,12:26:40 PM,12:29:30 PM,12:33:33 PM,12:35:24 PM,12:29:30 PM,12:31:30 PM,12:40:39 PM,12:42:06 PM,12:43:35 PM,12:45:35 PM,12:45:57 PM,12:48:01 PM
1033,1,1033_V1R3XP_4,2:25:47 PM,2:26:39 PM,2:28:10 PM,2:30:10 PM,2:30:10 PM,2:32:10 PM,2:33:56 PM,2:35:56 PM,2:36:22 PM,2:39:08 PM,2:43:14 PM,2:45:19 PM,2:39:08 PM,2:41:13 PM,2:51:54 PM,2:53:34 PM,3:02:10 PM,3:04:11 PM,3:05:04 PM,3:07:05 PM
1038,1,1038_V1R3XP_4,4:14:22 PM,4:16:19 PM,4:17:54 PM,4:20:05 PM,4:20:05 PM,4:22:14 PM,4:24:06 PM,4:26:06 PM,4:26:37 PM,4:30:19 PM,4:36:37 PM,4:39:36 PM,4:30:19 PM,4:32:18 PM,4:43:44 PM,4:45:07 PM,4:52:51 PM,4:54:52 PM,4:55:23 PM,4:57:26 PM
1039,1,1039_V1R3XP_4,11:36:18 AM,11:38:33 AM,11:40:04 AM,11:42:04 AM,11:42:04 AM,11:44:04 AM,11:45:25 AM,11:47:55 AM,11:48:24 AM,11:51:30 AM,11:54:37 AM,11:56:37 AM,11:51:30 AM,11:53:30 AM,11:59:44 AM,12:01:19 PM,12:04:40 PM,12:06:38 PM,12:07:09 PM,12:09:10 PM
1040,1,1040_V1R3XP_4,4:12:55 PM,4:13:35 PM,4:19:05 PM,4:21:05 PM,4:21:05 PM,4:22:04 PM,4:24:06 PM,4:26:06 PM,4:26:36 PM,4:30:23 PM,4:30:23 PM,4:32:23 PM,4:34:40 PM,4:37:03 PM,4:41:40 PM,4:43:08 PM,4:52:51 PM,4:54:49 PM,4:55:22 PM,4:57:25 PM
1041,1,1041_V1R3XP_4,3:09:28 PM,3:10:56 PM,3:13:25 PM,3:15:25 PM,3:15:25 PM,3:16:26 PM,3:18:25 PM,3:20:27 PM,3:20:57 PM,3:22:57 PM,3:22:57 PM,3:24:56 PM,3:26:48 PM,3:28:52 PM,3:30:47 PM,3:32:06 PM,3:33:06 PM,3:35:06 PM,3:36:07 PM,3:38:05 PM
1042,1,1042_V1R3XP_4,11:32:59 AM,11:35:10 AM,11:40:02 AM,11:42:02 AM,11:42:02 AM,11:43:00 AM,11:45:53 AM,11:47:53 AM,11:48:30 AM,11:50:54 AM,11:50:54 AM,11:52:58 AM,11:54:41 AM,11:56:39 AM,12:01:41 PM,12:03:30 PM,12:04:28 PM,12:06:38 PM,12:07:06 PM,12:09:11 PM
1043,1,1043_V1R3XP_4,4:43:10 PM,4:45:05 PM,4:47:00 PM,4:49:00 PM,4:49:00 PM,4:51:10 PM,4:53:20 PM,4:55:20 PM,4:55:50 PM,4:59:03 PM,5:03:15 PM,5:05:15 PM,4:59:03 PM,5:01:03 PM,5:11:20 PM,5:13:00 PM,5:22:05 PM,5:24:05 PM,5:24:50 PM,5:26:50 PM
1044,1,1044_V1R3XP_4,4:40:45 PM,4:41:55 PM,4:47:00 PM,4:49:00 PM,4:49:00 PM,4:51:10 PM,4:53:20 PM,4:55:20 PM,4:55:50 PM,4:59:03 PM,4:59:03 PM,5:01:03 PM,5:03:15 PM,5:05:15 PM,5:13:35 PM,5:15:15 PM,5:22:05 PM,5:24:05 PM,5:24:50 PM,5:26:50 PM
1045,1,1045_V1R3XP_4,11:15:15 AM,11:16:30 AM,11:18:05 AM,11:20:05 AM,11:20:05 AM,11:22:05 AM,11:24:30 AM,11:26:30 AM,11:27:00 AM,11:29:40 AM,11:29:40 AM,11:31:40 AM,11:33:10 AM,11:35:10 AM,11:37:55 AM,11:39:25 AM,11:40:10 AM,11:42:10 AM,11:42:50 AM,11:44:50 AM
